*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=K130
*Date=17:11:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
170;;;256.537;-62.0643;0;Bottom;Via21
171;;;98.8689;-131.871;0;Bottom;MX5
172;;300 mil [THT];170.248;-66.5834;180;Bottom;D74
173;;300 mil [THT];94.0476;-66.5834;180;Bottom;D78
174;;300 mil [THT];458.538;-47.5334;180;Bottom;D33
175;;;203.545;-75.7296;0;Bottom;MX82
176;;;393.011;-75.7651;0;Bottom;MX37
177;;300 mil [THT];454.869;-114.208;180;Bottom;D50
178;;;469.403;-40.3367;0;Bottom;Hole11
179;;300 mil [THT];241.65;-85.6334;180;Bottom;D89
180;;THT;144.072;-148.146;-90;Bottom;J2
181;;;270.295;-131.871;0;Bottom;MX13
182;;300 mil [THT];477.752;-110.61;180;Bottom;D47
183;;;411.336;-52.7545;0;Bottom;Via9
184;;;420.493;-75.7555;0;Bottom;MX48
185;;;322.672;-75.7296;0;Bottom;MX86
186;;;303.622;-56.6795;0;Bottom;MX105
187;;300 mil [THT];294.002;-47.5334;180;Bottom;D64
188;;;117.919;-94.7915;0;Bottom;MX67
189;;;136.969;-131.871;0;Bottom;MX8
190;;;184.58;-131.871;0;Bottom;MX10
191;;300 mil [THT];354.892;-38.6434;180;Bottom;D25
192;;;209.124;-47.5334;0;Bottom;Via13
193;;;246.471;-56.6795;0;Bottom;MX99
194;;300 mil [THT];370.273;-110.328;180;Bottom;D98
195;;;49.1037;-154.354;0;Bottom;TXT2
196;;300 mil [THT];89.2498;-85.6334;180;Bottom;D81
197;;;194.095;-11.9029;0;Bottom;Hole10
198;;;270.319;-18.5914;0;Bottom;MX124
199;;;373.961;-131.871;0;Bottom;MX17
200;;300 mil [THT];103.502;-47.5334;180;Bottom;D54
201;;300 mil [THT];167.825;-114.373;180;Bottom;D112
202;;300 mil [THT];108.3;-85.5628;180;Bottom;D82
203;;300 mil [THT];10.7968;-114.053;180;Bottom;D5
204;;;79.8189;-94.7915;0;Bottom;MX64
205;;;477.621;-94.8056;0;Bottom;MX46
206;;300 mil [THT];324.976;-66.5834;180;Bottom;D66
207;;;98.8689;-94.7915;0;Bottom;MX66
208;;300 mil [THT];236.852;-47.5334;180;Bottom;D61
209;;300 mil [THT];109.217;-110.328;180;Bottom;D106
210;;;289.369;-94.7914;0;Bottom;MX76
